ticker,Open,High,Low,Close,Volume,Money,Change
089230,1120,1150,1055,1080,3542221,3910005000,-4.0
161570,1820,1845,1760,1780,81975,146411770,-2.2
192410,4305,4310,4080,4160,482292,2000588305,-3.37
032540,3845,3905,3835,3835,22499,86618570,-0.78
048770,4225,4235,4130,4195,107555,449362105,-0.71
246690,4065,4100,3850,3975,3547782,14109118630,-5.58
317240,1355,1370,1325,1325,209669,280408965,-2.21
038340,0,0,0,445,0,0,0.0
073570,1380,1390,1335,1370,773087,1055419225,0.0
057030,8200,8290,7660,7710,548725,4342260910,-7.33
040300,3900,3935,3850,3900,5856,22728265,0.0
051390,4450,4540,4420,4540,22987,102979425,1.11
052220,4005,4090,3945,3950,255899,1021216700,-1.62
079940,14750,15150,14600,14900,52438,779989350,1.02
078890,12950,13250,12350,12550,712261,9031235600,-2.71
036620,1210,1260,1140,1185,1725154,2093102830,-2.07
217730,6970,7000,6810,6840,173342,1193927150,-2.15
114190,0,0,0,2500,0,0,0.0
094480,7170,7480,7050,7230,1683044,12237573470,1.69
063080,45950,45950,41400,42400,470623,20235132550,-9.01
039240,4030,4320,3985,4080,3425357,14179963500,3.03
053950,7010,7080,7000,7020,38546,270930470,-0.14
223310,0,0,0,3320,0,0,0.0
011040,10600,10600,10350,10350,131743,1379806350,-1.43
024910,3150,3295,3130,3260,154658,495490735,2.84
198440,3765,3880,3715,3720,935423,3544920640,-0.8
049720,7020,7050,6900,6940,97768,679760950,-1.7
014570,11050,11300,10900,10950,96436,1064770350,-0.9
348150,35800,38150,35600,36850,393136,14640713150,2.93
098460,27750,28000,26950,27800,290066,7986474150,0.91
035290,0,0,0,1305,0,0,0.0
038530,1380,1385,1330,1335,1341824,1815871210,-3.26
900280,511,529,479,486,21522737,10810889387,-1.02
215000,99400,100500,92500,94000,337097,32285179900,-5.53
121440,7610,7610,7340,7400,214948,1599798120,-2.12
014200,2700,2750,2605,2695,1295271,3477730855,0.37
026910,5220,6000,5160,5750,821533,4612291370,10.15
090150,4280,4335,4215,4230,64025,273487565,-2.42
355150,2095,2145,2095,2135,2757,5875415,1.67
331520,2160,2330,2135,2240,116453,259411615,4.67
053270,3770,4340,3630,3875,7813963,31898356905,3.33
066620,23000,23200,22750,22900,19302,441921600,-0.43
043650,8430,8500,8170,8320,53169,441005610,-1.3
006050,2850,2920,2770,2815,991063,2798259315,-0.35
060480,4975,5090,4850,4930,262119,1298267290,0.41
078130,6560,6560,6270,6310,3226900,20565285100,-3.81
307750,7750,7750,7550,7670,205060,1568561880,0.79
204020,3090,3115,3035,3050,143276,439598105,-1.77
186230,17200,17200,16000,16300,543114,9003706050,-5.78
900070,1190,1205,1150,1160,515312,601603590,-2.52
204620,3320,3840,3270,3590,6512429,23212328650,8.62
019660,4360,4435,4250,4255,210654,912056925,-2.41
053260,7680,8040,7360,7500,586914,4520714150,-2.98
036190,32750,32950,32400,32650,5120,166797550,-0.15
049080,1815,1825,1770,1795,148329,266091940,-1.37
035460,2915,2940,2880,2880,151260,438508165,-1.2
308100,13200,14250,13100,14050,257412,3590842700,6.44
187790,1785,1800,1720,1745,584382,1026823000,-1.13
286750,9310,9410,9110,9410,12211,113164420,0.11
151910,10800,11950,10800,11900,1767036,20441383150,10.19
121600,31400,31450,29600,30100,182624,5513404350,-3.37
247660,17000,17200,16450,16500,66167,1103985350,-2.37
039860,11700,11700,10600,10650,1684028,18709215500,-8.97
091970,2115,2140,2085,2110,333371,701302625,-0.24
051490,9890,10050,9810,9810,81957,811434360,-0.81
190510,9080,9200,9030,9130,56156,511462390,1.22
242040,3145,3155,3030,3095,345623,1062197580,-1.28
089600,36150,36400,35050,35300,77202,2752278200,-2.22
293580,14050,14250,13400,13850,194186,2666990400,-1.42
138610,35300,35650,33000,33700,200532,6790069550,-4.53
130580,10450,10450,10150,10250,24665,253728800,-1.91
036800,31750,32100,31350,31500,32736,1036043500,-0.79
267320,4665,4685,4560,4580,352405,1625635075,-1.82
111710,9960,10100,9900,9900,52137,518826570,-0.6
091590,11050,11150,10900,11000,47019,518200000,-0.45
168330,0,0,0,2525,0,0,0.0
094860,2090,2165,2085,2105,233791,497160260,-0.24
253590,3520,3520,3425,3500,136394,474276320,0.57
212560,8000,8150,7720,7860,174369,1376226300,-1.75
095660,23700,24200,23350,23700,269061,6414880700,0.64
042420,34500,35000,33900,34550,66459,2279739950,0.14
950220,13650,13850,13100,13400,1384317,18686807450,0.37
311390,8270,8420,8240,8320,29377,244411660,-0.48
085910,4250,4295,4105,4170,104330,436975685,-1.88
092730,34600,35000,34000,34650,54930,1889893600,-0.14
290660,4565,4585,4050,4050,3771859,16020746085,-10.0
306620,4025,4075,3965,3970,229982,921152725,-1.24
153460,6790,6790,6650,6700,14064,94688390,-1.33
007390,9650,9770,9560,9750,327862,3171299210,0.72
033640,40200,40850,39150,40000,324753,12918616600,-0.62
330860,42400,44250,42400,43850,61458,2660375450,2.57
089140,19400,19600,19100,19450,131475,2550833400,0.26
065170,1620,1645,1590,1600,686384,1103005810,-2.74
