Date,Open,High,Low,Close,Volume
2018-05-31,17150,17190,15640,15955,217017040.0
2018-06-30,15905,16760,14485,14815,274948353.0
2018-07-31,14780,14880,13890,14635,256110284.0
2018-08-31,14700,14850,13455,14735,202080398.0
2018-09-30,14705,15100,13905,14885,144522655.0
2018-10-31,14940,15005,11015,11365,381933416.0
2018-11-30,11410,12575,11290,12020,327902612.0
2018-12-31,12355,12500,10915,11445,246267127.0
2019-01-31,11605,13925,10865,13625,355294718.0
2019-02-28,13720,14005,13050,13390,248487022.0
2019-03-31,13565,13655,12440,12680,277588382.0
2019-04-30,12825,14055,12820,13415,306640652.0
2019-05-31,13270,13605,11150,11405,494896579.0
2019-06-30,11340,12800,11290,12695,356609269.0
2019-07-31,12900,12945,11560,11675,402766195.0
2019-08-31,11520,11750,10320,10970,426333568.0
2019-09-30,10895,12645,10855,12255,290883062.0
2019-10-31,12245,12780,11590,12470,338757576.0
2019-11-30,12470,13520,12415,12470,310475049.0
2019-12-31,12630,14700,12115,14425,293078316.0
2020-01-31,14425,15695,13495,13500,324343366.0
2020-02-29,13155,15320,11810,11890,709578159.0
2020-03-31,12005,13085,6165,8720,4110813074.0
2020-04-30,8585,10515,7805,10375,2739973619.0
2020-05-31,9885,11425,9695,11160,1510995149.0
2020-06-30,11215,13630,11010,12090,2112350044.0
2020-07-31,12300,14210,12040,13780,1293385205.0
2020-08-31,13780,16330,13595,14485,1138842006.0
2020-09-30,14485,16015,13870,14645,1192898025.0
2020-10-31,14685,15745,13820,13860,1014106394.0
2020-11-30,13885,19100,13855,18330,1325253668.0
2020-12-31,18520,23630,18475,23555,1313657492.0
2021-01-31,23605,31030,23400,25340,1124649406.0
2021-02-28,25240,28720,24795,25880,751946621.0
2021-03-31,27010,27330,24475,26395,752576173.0
2021-04-30,26750,28890,26555,27220,517594257.0
2021-05-31,27220,29170,26225,27840,422579713.0
2021-06-30,27875,29695,27775,29300,342590627.0
2021-07-31,29280,29540,27290,27390,297731445.0
2021-08-31,27670,29160,24285,26760,377760668.0
2021-09-30,26630,26985,23900,24560,300270791.0
2021-10-31,24250,24370,21845,22935,351488141.0
2021-11-30,23200,24090,22235,23115,260336820.0
