Date,Open,High,Low,Close,Volume
2019-12-04,65500,66300,65500,66300,4934
2019-12-05,66300,66800,64400,65400,6511
2019-12-06,66000,66000,64900,65800,2749
2019-12-09,65800,65900,62000,65400,5149
2019-12-10,65800,69800,65600,69700,26959
2019-12-11,69200,69800,68700,69800,8834
2019-12-12,69900,70200,69000,69800,10880
2019-12-13,70100,70100,68900,70000,9387
2019-12-16,69800,70000,69400,69900,5531
2019-12-17,69800,70800,69400,70800,8801
2019-12-18,70300,70900,69600,70200,12897
2019-12-19,69500,71000,69500,71000,7370
2019-12-20,71000,71200,70300,71000,9544
2019-12-23,70800,71200,70400,71200,16383
2019-12-24,71200,71400,70800,71200,7509
2019-12-26,71200,72000,70700,72000,14636
2019-12-27,71900,72300,71000,71700,32566
2019-12-30,71300,72500,71300,72400,6950
2020-01-02,72500,72600,69700,70600,16853
2020-01-03,70200,71000,68800,69800,16856
2020-01-06,69200,69400,67200,68000,11824
2020-01-07,68800,68800,67400,68600,9242
2020-01-08,68600,68600,66300,68000,23716
2020-01-09,68000,68500,67000,67300,14945
2020-01-10,67300,67900,66800,67200,9398
2020-01-13,67200,68100,67000,68100,12174
2020-01-14,67900,69200,67600,68500,10708
2020-01-15,68500,68800,67600,68500,4258
2020-01-16,68500,68600,67900,68600,5097
2020-01-17,68700,69100,68200,68800,4867
2020-01-20,68600,69000,68400,68600,3189
2020-01-21,68600,68600,68000,68400,1516
2020-01-22,68400,68700,67200,67900,9355
2020-01-23,67000,67400,65900,67100,18055
2020-01-28,65500,65900,63000,64100,24162
2020-01-29,64800,64800,62900,63200,10533
2020-01-30,63300,63700,62200,62500,7170
2020-01-31,63600,63600,61800,62000,10163
2020-02-03,61900,62300,61000,61600,11537
2020-02-04,61700,63800,61000,63800,7346
2020-02-05,64200,64200,62300,63000,4633
2020-02-06,63000,64500,63000,64500,7281
2020-02-07,64400,64400,63600,64300,3498
2020-02-10,64500,64500,62500,63400,11396
2020-02-11,63900,64400,63100,63900,8564
2020-02-12,64100,66400,62000,66300,13978
2020-02-13,67100,71400,67100,70500,63991
2020-02-14,70500,71800,68900,70300,16540
2020-02-17,70300,70500,69300,70300,9774
2020-02-18,70200,70300,69200,69700,3877
2020-02-19,70000,70200,68100,69200,8544
2020-02-20,69200,69900,68800,69400,21514
2020-02-21,69200,69400,66800,67600,8620
2020-02-24,66900,66900,64700,65200,8780
2020-02-25,64500,65900,62600,65300,46074
2020-02-26,64300,65000,63300,64500,3616
2020-02-27,63900,64200,62000,63500,10416
2020-02-28,62900,62900,59900,60800,17241
2020-03-02,60500,61400,59300,60200,10686
2020-03-03,60800,61700,60300,61200,8714
2020-03-04,60200,62300,60200,62200,10225
2020-03-05,62400,62700,61700,62300,3615
2020-03-06,62100,62100,59800,60800,14649
2020-03-09,60000,60000,58500,58800,12107
2020-03-10,58000,58000,56000,57100,26165
2020-03-11,57500,57600,53000,53800,39581
2020-03-12,52600,53000,50000,50700,50324
2020-03-13,47050,47050,41750,45650,133790
2020-03-16,46000,46500,43800,45100,43214
2020-03-17,42000,44850,42000,44350,33305
2020-03-18,44950,45300,41700,41750,54175
2020-03-19,41800,42400,36200,36350,64858
2020-03-20,37050,38000,35200,37500,55945
2020-03-23,35100,36050,33000,33800,65859
2020-03-24,34050,38450,33700,38000,65069
2020-03-25,40000,40950,38750,40950,51483
2020-03-26,41050,42650,40500,41350,33340
2020-03-27,42800,43100,40550,41800,21492
2020-03-30,40400,41950,39900,41700,27358
2020-03-31,42100,43250,41650,42700,30691
2020-04-01,42050,43900,41500,41650,24566
2020-04-02,41600,42500,40700,42500,10754
2020-04-03,43400,43600,42150,43000,22770
2020-04-06,43000,46500,43000,46500,31309
2020-04-07,48500,49850,46800,48200,31405
2020-04-08,48200,49700,47200,49200,18843
2020-04-09,50000,50400,49000,49900,17827
2020-04-10,49700,50700,49400,50300,15372
2020-04-13,50200,50300,49100,49400,17912
2020-04-14,49150,49950,49150,49900,8015
2020-04-16,49550,49700,48350,49650,16071
2020-04-17,50200,51000,49900,50900,13954
2020-04-20,50900,51600,49900,51200,17957
2020-04-21,50600,51200,49550,50400,14746
2020-04-22,49500,50400,49150,49950,19869
2020-04-23,50000,50600,49800,50400,6849
2020-04-24,50200,51400,49800,50900,14444
2020-04-27,50900,58300,50900,57300,61810
2020-04-28,57200,58000,55800,56900,17839
2020-04-29,57000,57500,56500,57400,14776
2020-05-04,56500,56500,54800,55300,18995
2020-05-06,56100,58000,55400,58000,20451
2020-05-07,58000,58200,56900,58000,17342
2020-05-08,58700,58800,55700,56300,20901
2020-05-11,56400,56800,55500,56200,15675
2020-05-12,56000,56200,54800,55800,8987
2020-05-13,55600,56700,54600,56700,10419
2020-05-14,56300,56900,55700,56200,11863
2020-05-15,56600,57600,56200,57400,19786
2020-05-18,57400,60300,57400,58900,16988
2020-05-19,59500,60100,59000,60000,19847
2020-05-20,59700,61400,59700,61400,21824
2020-05-21,61700,62200,60700,62200,17775
2020-05-22,61900,62400,60600,61900,10397
2020-05-25,61900,63300,61300,63300,14273
2020-05-26,63400,63900,62200,62900,14789
2020-05-27,63300,63900,61500,63300,14228
2020-05-28,63300,63300,60500,62000,13839
2020-05-29,61900,63400,61400,63400,11486
2020-06-01,63400,64000,62700,64000,6297
2020-06-02,64000,64600,63400,64600,7790
2020-06-03,65000,65500,63500,64700,14374
2020-06-04,64700,65000,63200,63900,9747
2020-06-05,63900,64100,60800,64000,9298
2020-06-08,64300,64600,62800,63600,16798
2020-06-09,63200,64300,62500,63600,17265
2020-06-10,63500,64600,62900,64600,19677
2020-06-11,64200,64700,62500,63500,12411
2020-06-12,61000,62200,60100,61100,25018
2020-06-15,61000,61400,58100,58900,27613
2020-06-16,59600,62100,59600,62000,25885
2020-06-17,61600,62200,60700,61800,12036
2020-06-18,61700,63500,61200,63100,28458
2020-06-19,63400,63500,61300,62200,12516
2020-06-22,61900,61900,60600,61400,8339
2020-06-23,61200,61600,59900,60000,15838
2020-06-24,60500,61300,60000,61300,11999
2020-06-25,60600,60600,58700,59000,18724
2020-06-26,59400,59500,58400,59300,9290
2020-06-29,58400,59000,57500,58100,13591
2020-06-30,58600,59900,58200,59400,15249
2020-07-01,59800,60000,58900,59400,10087
2020-07-02,59500,61900,59300,61900,25007
2020-07-03,61900,61900,60900,61800,7334
2020-07-06,61700,61800,60300,61800,12011
2020-07-07,61800,61900,60700,61200,6665
2020-07-08,60900,61200,59000,59500,18517
2020-07-09,59500,60200,59500,60000,10591
2020-07-10,59500,60100,58600,59100,15109
2020-07-13,59300,60300,59100,60300,9328
2020-07-14,60200,60800,59300,60400,9070
2020-07-15,60900,61100,60100,60700,10052
2020-07-16,60700,61200,60400,60900,7855
2020-07-17,60900,61100,60400,60900,5809
2020-07-20,60900,60900,59700,60500,16111
2020-07-21,60500,60600,60000,60500,10865
2020-07-22,60100,60500,59700,60100,12334
2020-07-23,60100,60200,58900,59300,12505
2020-07-24,59000,59300,58600,59300,8624
2020-07-27,59300,59300,58600,59000,6960
2020-07-28,59000,59200,57700,58500,20132
2020-07-29,58400,58400,57200,57300,18765
2020-07-30,57300,57700,57000,57500,8708
2020-07-31,57500,57500,56700,57200,13549
2020-08-03,56800,57400,56100,56100,24136
2020-08-04,56400,57900,56400,57600,20073
2020-08-05,57500,57700,56800,57400,7061
2020-08-06,57700,58200,57100,57600,14756
2020-08-07,57600,57800,56200,56900,22048
2020-08-10,56600,57300,56500,57100,19887
2020-08-11,56900,57700,56900,57700,15520
2020-08-12,58300,62400,58300,62400,60657
2020-08-13,62100,62600,61000,61300,20683
2020-08-14,61400,62500,59400,60300,20184
2020-08-18,60300,61000,58200,58800,21319
2020-08-19,59300,59400,58200,59100,9595
2020-08-20,59000,59000,56300,57200,24550
2020-08-21,57900,57900,57000,57500,9251
2020-08-24,57900,57900,56600,57400,12312
2020-08-25,57600,59000,57300,58800,10922
2020-08-26,58300,58800,57000,58000,7730
2020-08-27,58000,58000,56800,57200,7602
2020-08-28,57300,57800,56900,57200,11652
2020-08-31,57200,58500,56400,56400,16713
2020-09-01,56500,57500,56300,57500,12475
2020-09-02,57700,58400,57200,58400,7991
2020-09-03,58700,58700,57300,57800,9017
2020-09-04,57000,58200,56700,58200,13847
2020-09-07,58200,58300,57500,57900,13360
2020-09-08,58200,58200,57400,57900,9448
2020-09-09,57000,57700,57000,57500,12977
2020-09-10,57700,57800,57200,57500,6892
2020-09-11,57500,57900,57100,57900,6168
2020-09-14,58400,58400,57600,58300,6787
2020-09-15,58400,58500,57700,58500,10096
2020-09-16,58200,60700,58200,59900,43932
2020-09-17,60300,60300,58500,59700,10373
2020-09-18,59000,60000,58800,60000,12129
2020-09-21,59600,59800,58000,58600,12200
2020-09-22,58500,58500,56900,57200,21097
2020-09-23,57900,57900,56700,57500,11046
2020-09-24,57200,57200,55800,56600,28446
2020-09-25,56600,56900,56100,56800,9469
2020-09-28,56800,57500,56800,57400,3853
2020-09-29,57600,58800,57100,58800,14837
2020-10-05,58800,58800,57800,58600,8906
2020-10-06,58800,58800,57700,58200,8531
2020-10-07,58200,58200,57500,58200,4869
2020-10-08,58500,58800,58000,58700,5650
2020-10-12,58800,59100,58500,59000,13396
2020-10-13,59100,59500,58500,58900,4515
2020-10-14,59000,59200,58300,58600,7911
2020-10-15,58600,58700,57500,58300,8421
2020-10-16,58900,59000,57900,58700,5893
2020-10-19,58700,59300,58700,59200,7627
2020-10-20,58700,59100,58500,59100,3915
2020-10-21,59300,60000,58700,59900,8314
2020-10-22,59900,59900,58900,59300,3202
2020-10-23,59500,59600,58900,59600,2675
2020-10-26,59600,59600,58700,58900,8251
2020-10-27,59000,59000,58300,58700,9710
2020-10-28,58700,58800,58300,58500,7580
2020-10-29,58100,58100,57300,57700,14252
2020-10-30,58000,58000,57300,57300,17078
2020-11-02,57200,58000,57100,57600,2463
2020-11-03,58000,58100,57100,58000,3915
2020-11-04,58500,58500,57800,58500,10258
2020-11-05,58800,59800,58300,59800,7348
2020-11-06,59800,59800,59000,59400,6121
2020-11-09,59700,59700,58900,59300,15823
2020-11-10,59600,59800,59100,59600,11768
2020-11-11,59400,60700,59300,60600,32887
2020-11-12,60300,60500,59500,60300,11064
2020-11-13,60000,60300,59700,60200,6785
2020-11-16,60700,60800,60200,60700,15055
2020-11-17,60900,60900,60000,60500,12501
2020-11-18,60500,61200,60300,60800,9321
2020-11-19,61000,61000,59900,60200,4201
2020-11-20,60100,60400,59900,60100,7283
2020-11-23,60100,60600,59700,60600,11274
2020-11-24,60500,61600,60400,61300,11107
2020-11-25,61400,62000,60400,61600,15039
2020-11-26,61400,61400,60500,61100,11570
2020-11-27,61000,62000,61000,61400,13716
2020-11-30,61300,61400,60300,60800,18702
2020-12-01,60600,61400,60400,61200,22309
2020-12-02,61300,61600,60800,61600,12442
2020-12-03,61600,61600,60800,61400,12392
2020-12-04,61300,61700,60500,60700,24443
2020-12-07,60600,60600,59400,60100,23287
2020-12-08,60600,60800,60000,60600,13597
2020-12-09,61000,61800,60800,61700,8848
2020-12-10,61700,62100,61000,61700,17318
2020-12-11,61900,63400,61900,63200,20074
2020-12-14,63600,63600,62300,63000,12899
2020-12-15,63400,63400,61800,62500,12680
2020-12-16,62600,63500,62600,63100,12896
